feature,start_hour,window_label,center_hour,center_hour_mod,W_obs_full,W_boot_mean,W_boot_std,W_null_mean,W_null_std,W_t_stat,W_p_ttest,W_n_null_valid
ECU_z,23.0,023.0-002.0,24.5,0.5,0.18450462007060756,0.24368508722653137,0.08755886553736472,-0.01430131395772155,0.24515428966243785,11.468453134972487,1.0564583841461989e-23,200
ECV_z,23.0,023.0-002.0,24.5,0.5,-0.03515957515529773,0.043141901876446946,0.08442853171648149,-0.008311078465319555,0.14298969682959514,-2.655401682090817,0.008563000762596966,200
EPS_z,23.0,023.0-002.0,24.5,0.5,-0.02174855007532663,0.021007981928158715,0.10075464522375066,-0.02705287687169168,0.28600203683916686,0.26228662486403637,0.7933717854901353,200
EPS_KURT_z,23.0,023.0-002.0,24.5,0.5,0.07319768926016217,0.057208331678844496,0.0731430751402257,-0.0036200442483502186,0.10110531032006552,10.744903528270974,1.5667012228698524e-21,200
EPS_SKEW_z,23.0,023.0-002.0,24.5,0.5,0.005742275135106487,0.018634835222355133,0.0690569916611278,-0.020780586073683903,0.1435467407282814,2.613015791519163,0.009660072464233154,200
ACI_z,23.0,023.0-002.0,24.5,0.5,0.0936003012022452,-0.008451403616628928,0.07723394631812568,-0.0018815063393468414,0.07289192500748304,18.524914408743477,3.461316252875228e-45,200
NDSI_z,23.0,023.0-002.0,24.5,0.5,0.0567732026520501,0.018533705700496134,0.06818804420822902,0.008240527043653327,0.19355612358286362,3.5460292752900138,0.0004875755870897297,200
rBA_z,23.0,023.0-002.0,24.5,0.5,0.1727753199586481,-0.006058828969451095,0.09194691516378166,-0.00040251841522184945,0.06943884946654727,35.26994609102363,1.4916030633571773e-87,200
AnthroEnergy_z,23.0,023.0-002.0,24.5,0.5,-0.018104125281096315,-0.00600724253090775,0.06334911110671382,-0.004438339302948304,0.06879680915083924,-2.80919131415112,0.005462020524555339,200
BioEnergy_z,23.0,023.0-002.0,24.5,0.5,-0.07934121748117616,-0.0076111192882414806,0.08167426870634598,-0.00902785542905975,0.07179897906527079,-13.849515901856469,5.491608649827032e-31,200
BI_z,23.0,023.0-002.0,24.5,0.5,0.011730449884470738,-0.07979865990417193,0.09741807213758635,-0.030091089779352903,0.23068810013315771,2.5638335292442176,0.011090055996034215,200
ROU_z,23.0,023.0-002.0,24.5,0.5,-0.12397565355284332,0.02013534445110198,0.05909161321727973,-0.001982901844810839,0.06674912431893933,-25.846601844896615,1.6165588648576435e-65,200
ADI_z,23.0,023.0-002.0,24.5,0.5,-0.042009540050411645,-0.037657442594983256,0.08728979589170632,0.002315369859793126,0.11061972654611303,-5.666700750688107,5.0546253521842843e-08,200
AEI_z,23.0,023.0-002.0,24.5,0.5,0.02893239368984822,-0.04027285839969037,0.05859307697126064,-0.004736647421850381,0.08537541453753116,5.577157643120991,7.905704705178531e-08,200
LFC_z,23.0,023.0-002.0,24.5,0.5,0.03829940577635743,0.0205661459632434,0.07161909286935503,-0.009861755730348561,0.12220647581548139,5.573368131919922,8.055926554271624e-08,200
MFC_z,23.0,023.0-002.0,24.5,0.5,0.07328696763521,0.06747961422762505,0.07256685056778764,0.0019903990658823654,0.17055702694327202,5.911722080787824,1.4510934054361134e-08,200
HFC_z,23.0,023.0-002.0,24.5,0.5,-0.1511570689895687,-0.1480850650248818,0.0551492005020722,0.0036382806287829283,0.1124184971130916,-19.473101708728006,5.641971734410677e-48,200
ACTspFract_z,23.0,023.0-002.0,24.5,0.5,-0.06388173353419835,-0.12144044886474639,0.07190841206048981,-0.00394759287217383,0.11219285392690084,-7.554819367429316,1.492758447433639e-12,200
ACTspCount_z,23.0,023.0-002.0,24.5,0.5,-0.10946276932939154,-0.11062561280469545,0.07056831403219717,0.0012433883148571722,0.10745033621950459,-14.570652367143637,3.313191773160883e-33,200
ACTspMean_z,23.0,023.0-002.0,24.5,0.5,0.024857248909807002,0.0275993332654641,0.07959482816058705,-0.00473454988417532,0.08973461388199402,4.663654456071936,5.6897470463875325e-06,200
EVNspFract_z,23.0,023.0-002.0,24.5,0.5,-0.05941018760305731,-0.12132531679989493,0.06599015899975808,-0.005912319191341782,0.09959051711332356,-7.596848902773453,1.161094911209606e-12,200
EVNspMean_z,23.0,023.0-002.0,24.5,0.5,0.04420124583409872,-0.03552914262099419,0.08906846136289183,0.008738412728271043,0.09382665374294193,5.345178319567617,2.462569446723832e-07,200
EVNspCount_z,23.0,023.0-002.0,24.5,0.5,-0.12453473222445563,-0.12828239832759752,0.06480090933912375,-0.005789695459256074,0.10318952786730391,-16.27401975070444,2.0134882944476684e-38,200
TFSD_z,23.0,023.0-002.0,24.5,0.5,-0.11280953758392082,-0.05526998035154378,0.08442613773314643,0.0038007520610816013,0.07766393430510177,-21.234032836961777,4.887755179274745e-53,200
H_Havrda_z,23.0,023.0-002.0,24.5,0.5,0.0884315498480477,0.07237722482395993,0.07390690779957386,0.009137210147899191,0.12654988589033875,8.861258928399433,4.452546852326166e-16,200
